N,J,End
2, 1, 0.56
2, 2, 0.57
2, 3, 0.53
2, 4, 0.55
2, 5, 0.47
4, 1, 0.29
4, 2, 0.28
4, 3, 0.28
4, 4, 0.29
4, 5, 0.30
8, 1, 0.15
8, 2, 0.14
8, 3, 0.14
8, 4, 0.16
8, 5, 0.17
16, 1, 0.11
16, 2, 0.09
16, 3, 0.10
16, 4, 0.11
16, 5, 0.27
32, 1, 0.20
32, 2, 0.18
32, 3, 0.18
32, 4, 0.15
32, 5, 0.16
64, 1, 1.23
64, 2, 0.98
64, 3, 0.97
64, 4, 0.96
64, 5, 0.60
