N,J,End
1, 1, 0.00
1, 2, 0.00
1, 3, 0.00
1, 4, 0.00
1, 5, 0.00
2, 1, 0.17
2, 2, 0.19
2, 3, 0.19
2, 4, 0.21
2, 5, 0.20
4, 1, 0.50
4, 2, 0.26
4, 3, 0.32
4, 4, 0.47
4, 5, 0.39
8, 1, 0.57
8, 2, 0.49
8, 3, 0.52
8, 4, 0.63
8, 5, 0.53
16, 1, 1.10
16, 2, 0.98
16, 3, 0.82
16, 4, 0.86
16, 5, 0.86
32, 1, 1.43
32, 2, 1.63
32, 3, 1.69
32, 4, 1.59
32, 5, 1.64
64, 1, 1.42
64, 2, 1.46
64, 3, 1.99
64, 4, 1.37
64, 5, 1.47
