N,J,End
2, 1, 0.25
2, 2, 0.25
2, 3, 0.22
2, 4, 0.22
2, 5, 0.22
4, 1, 0.13
4, 2, 0.12
4, 3, 0.12
4, 4, 0.14
4, 5, 0.15
8, 1, 0.09
8, 2, 0.09
8, 3, 0.09
8, 4, 0.09
8, 5, 0.09
16, 1, 0.11
16, 2, 0.10
16, 3, 0.10
16, 4, 0.11
16, 5, 0.11
32, 1, 0.13
32, 2, 0.13
32, 3, 0.10
32, 4, 0.07
32, 5, 0.06
64, 1, 0.19
64, 2, 0.15
64, 3, 0.16
64, 4, 0.20
64, 5, 0.19
