N,J,End
2, 1, 0.55
2, 2, 0.56
2, 3, 0.52
2, 4, 0.50
2, 5, 0.50
4, 1, 0.29
4, 2, 0.28
4, 3, 0.29
4, 4, 0.29
4, 5, 0.29
8, 1, 0.15
8, 2, 0.16
8, 3, 0.17
8, 4, 0.14
8, 5, 0.14
16, 1, 0.22
16, 2, 0.22
16, 3, 0.24
16, 4, 0.12
16, 5, 0.21
32, 1, 0.28
32, 2, 0.20
32, 3, 0.21
32, 4, 0.15
32, 5, 0.19
64, 1, 1.13
64, 2, 1.14
64, 3, 0.96
64, 4, 0.67
64, 5, 1.35
