N,J,End
1, 1, 0.00
1, 2, 0.00
1, 3, 0.00
1, 4, 0.00
1, 5, 0.00
2, 1, 0.02
2, 2, 0.02
2, 3, 0.02
2, 4, 0.02
2, 5, 0.02
4, 1, 0.05
4, 2, 0.05
4, 3, 0.05
4, 4, 0.05
4, 5, 0.05
8, 1, 0.09
8, 2, 0.09
8, 3, 0.08
8, 4, 0.08
8, 5, 0.08
16, 1, 0.19
16, 2, 0.15
16, 3, 0.16
16, 4, 0.16
16, 5, 0.12
32, 1, 0.25
32, 2, 0.24
32, 3, 0.23
32, 4, 0.28
32, 5, 0.30
64, 1, 0.34
64, 2, 0.17
64, 3, 0.22
64, 4, 0.24
64, 5, 0.26
