N,J,End
2, 1, 0.22
2, 2, 0.22
2, 3, 0.22
2, 4, 0.22
2, 5, 0.22
4, 1, 0.13
4, 2, 0.13
4, 3, 0.13
4, 4, 0.13
4, 5, 0.13
8, 1, 0.10
8, 2, 0.09
8, 3, 0.09
8, 4, 0.09
8, 5, 0.09
16, 1, 0.10
16, 2, 0.10
16, 3, 0.12
16, 4, 0.13
16, 5, 0.12
32, 1, 0.44
32, 2, 0.33
32, 3, 0.32
32, 4, 0.45
32, 5, 0.44
64, 1, 0.54
64, 2, 0.37
64, 3, 0.53
64, 4, 0.41
64, 5, 0.53
