N,J,End
1, 1, 0.00
1, 2, 0.00
1, 3, 0.00
1, 4, 0.00
1, 5, 0.00
2, 1, 0.37
2, 2, 0.17
2, 3, 0.28
2, 4, 0.20
2, 5, 0.28
4, 1, 0.41
4, 2, 0.32
4, 3, 0.30
4, 4, 0.33
4, 5, 0.35
8, 1, 0.40
8, 2, 0.38
8, 3, 0.44
8, 4, 0.46
8, 5, 0.35
16, 1, 0.56
16, 2, 0.52
16, 3, 0.60
16, 4, 0.53
16, 5, 0.54
32, 1, 0.81
32, 2, 0.75
32, 3, 0.78
32, 4, 0.72
32, 5, 0.71
64, 1, 0.74
64, 2, 0.52
64, 3, 0.82
64, 4, 0.75
64, 5, 0.82
